Subject,Start date,Start time,End Date,End Time,All Day Event,Private,Location,Description
Koninklijke BBC Oostkamp J21 A vs H2,08/08/2018,08:00 PM,08/08/2018,10:00 PM,FALSE,FALSE,,"Vertrek 1850
Start match 2000
Zaal De Valkaart"
H2 vs Bbv Oedelem HSE A,08/11/2018,04:30 PM,08/11/2018,06:30 PM,FALSE,FALSE,,"Start match 1630
Zaal Gemeentelijke sporthal Koksijde"
BBC Spie Izegem HSE B vs H2,08/12/2018,05:00 PM,08/12/2018,07:00 PM,FALSE,FALSE,,"Vertrek 1500
Start match 1700
Zaal Sporthal Kachtem"
H2 vs K-Basketteam Kortrijk HSE C,08/25/2018,08:00 PM,08/25/2018,10:00 PM,FALSE,FALSE,,"Start match 2000
Zaal Gemeentelijke sporthal Koksijde"
KB Oostende Bredene HSE A vs H2,09/01/2018,12:00 AM,09/01/2018,08:00 PM,FALSE,FALSE,,"Start match 0000
Zaal Ter Polder"
BC Knokke-Heist HSE B vs H2,09/08/2018,06:15 PM,09/08/2018,08:15 PM,FALSE,FALSE,,"Vertrek 1615
Start match 1815
Zaal De Stormmeeuw"
H2 vs Basketclub Red Sharks Koekelare HSE B,09/15/2018,06:00 PM,09/15/2018,08:00 PM,FALSE,FALSE,,"Start match 1800
Zaal Gemeentelijke sporthal Koksijde"
Kon BC Gistel Oostende Duva Fruit HSE D vs H2,09/22/2018,08:30 PM,09/22/2018,10:30 PM,FALSE,FALSE,,"Vertrek 1900
Start match 2030
Zaal Sportcentrum Zomerloos Gistel"
H2 vs Wytewa Roeselare HSE B,10/06/2018,05:30 PM,10/06/2018,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
A.C.J. Basket Brugge HSE B vs H2,10/13/2018,07:00 PM,10/13/2018,09:00 PM,FALSE,FALSE,,"Vertrek 1710
Start match 1900
Zaal Daverloo Park"
Basket Sijsele HSE C vs H2,10/20/2018,05:30 PM,10/20/2018,07:30 PM,FALSE,FALSE,,"Vertrek 1530
Start match 1730
Zaal Sportpark 't Veld"
"""Au Pingouin"" Basket Blankenberge HSE B" vs H2,10/27/2018,06:00 PM,10/27/2018,08:00 PM,FALSE,FALSE,,"Vertrek 1800
Start match 1800
Zaal Zaal d'Hoogploate"
