Subject,Start date,Start time,End Date,End Time,All Day Event,Private,Location,Description
H2 vs BBC Poperinge HSE B,11/03/2018,06:00 PM,11/03/2018,08:00 PM,FALSE,FALSE,,"Start match 1800
Zaal Gemeentelijke sporthal Koksijde"
H2 vs Wibac BBC Sint-Eloois-Winkel HSE B,11/17/2018,06:30 PM,11/17/2018,08:30 PM,FALSE,FALSE,,"Start match 1830
Zaal Gemeentelijke sporthal Koksijde"
Mibac Middelkerke HSE B vs H2,11/24/2018,06:15 PM,11/24/2018,08:15 PM,FALSE,FALSE,,"Vertrek 1640
Start match 1815
Zaal Sporhal De Branding"
H2 vs BT Holstra Wevelgem-Moorsele HSE B,12/01/2018,05:30 PM,12/01/2018,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
BBC Gullegem HSE A vs H2,12/08/2018,08:00 PM,12/08/2018,10:00 PM,FALSE,FALSE,,"Vertrek 1750
Start match 2000
Zaal Gemeentelijke Sporthal Gullegem"
H2 vs Koninklijke Basket Avelgem HSE A,12/15/2018,06:00 PM,12/15/2018,08:00 PM,FALSE,FALSE,,"Start match 1800
Zaal Gemeentelijke sporthal Koksijde"
H2 vs BC Knokke-Heist HSE B,01/05/2019,05:30 PM,01/05/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
Basketclub Red Sharks Koekelare HSE B vs H2,01/13/2019,05:00 PM,01/13/2019,07:00 PM,FALSE,FALSE,,"Vertrek 1515
Start match 1700
Zaal Gemeentelijke Sporthal Koekelare"
H2 vs Kon BC Gistel Oostende Duva Fruit HSE D,01/19/2019,05:30 PM,01/19/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
Wytewa Roeselare HSE B vs H2,02/03/2019,03:00 PM,02/03/2019,05:00 PM,FALSE,FALSE,,"Vertrek 1300
Start match 1500
Zaal Sporthal Schiervelde"
H2 vs A.C.J. Basket Brugge HSE B,02/09/2019,05:30 PM,02/09/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
H2 vs Basket Sijsele HSE C,02/16/2019,05:30 PM,02/16/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
BBC Poperinge HSE B vs H2,02/24/2019,03:00 PM,02/24/2019,05:00 PM,FALSE,FALSE,,"Vertrek 1315
Start match 1500
Zaal Stedelijke Sporthal Poperinge"
H2 vs """Au Pingouin"" Basket Blankenberge HSE B",03/02/2019,05:30 PM,03/02/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
Wibac BBC Sint-Eloois-Winkel HSE B vs H2,03/09/2019,06:00 PM,03/09/2019,08:00 PM,FALSE,FALSE,,"Vertrek 1555
Start match 1800
Zaal Gemeentelijke Sporthal Sint-Eloois Winkel"
H2 vs Mibac Middelkerke HSE B,03/16/2019,05:30 PM,03/16/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
BT Holstra Wevelgem-Moorsele HSE B vs H2,03/30/2019,06:00 PM,03/30/2019,08:00 PM,FALSE,FALSE,,"Vertrek 1550
Start match 1800
Zaal Gemeentelijke Sporthal Moorsele"
H2 vs BBC Gullegem HSE A,04/06/2019,05:30 PM,04/06/2019,07:30 PM,FALSE,FALSE,,"Start match 1730
Zaal Gemeentelijke sporthal Koksijde"
