Subject,Start date,Start time,End Date,End Time,All Day Event,Private,Location,Description
H1 vs BBC Erembodegem HSE B,08/18/2018,06:00 PM,08/18/2018,08:00 PM,FALSE,FALSE,,"Start match 1800
Zaal Gemeentelijke sporthal Koksijde"
Basket HEXIA ZwevegemDeerlijk HSE D vs H1,09/09/2018,11:00 AM,09/09/2018,01:00 PM,FALSE,FALSE,,"Vertrek 0850
Start match 1100
Zaal Gaverhal"
H1 vs BC Knokke-Heist HSE C,09/16/2018,04:00 PM,09/16/2018,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
Kon BC Gistel Oostende Duva Fruit HSE G vs H1,09/22/2018,06:30 PM,09/22/2018,08:30 PM,FALSE,FALSE,,"Vertrek 1700
Start match 1830
Zaal Sportcentrum Zomerloos Gistel"
H1 vs BC Kortrijk Sport HSE D,10/07/2018,04:00 PM,10/07/2018,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
Koninklijke Basket Avelgem HSE B vs H1,10/13/2018,05:15 PM,10/13/2018,07:15 PM,FALSE,FALSE,,"Vertrek 1445
Start match 1715
Zaal Gemeentelijke Sporthal Ter Muncken"
Wytewa Roeselare HSE C vs H1,10/20/2018,06:30 PM,10/20/2018,08:30 PM,FALSE,FALSE,,"Vertrek 1630
Start match 1830
Zaal Sporthal Schiervelde"
KBBC Wikings Kortrijk HSE B vs H1,11/09/2018,08:45 PM,11/09/2018,10:45 PM,FALSE,FALSE,,"Vertrek 1840
Start match 2045
Zaal Lagae Plein"
H1 vs BBC Poperinge HSE C,11/18/2018,04:00 PM,11/18/2018,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
BBC Gullegem HSE B vs H1,11/24/2018,05:30 PM,11/24/2018,07:30 PM,FALSE,FALSE,,"Vertrek 1525
Start match 1730
Zaal Gemeentelijke Sporthal Gullegem"
Racing Brugge HSE C vs H1,12/01/2018,04:15 PM,12/01/2018,06:15 PM,FALSE,FALSE,,"Vertrek 1430
Start match 1615
Zaal KTA Brugge"
BC Knokke-Heist HSE C vs H1,12/08/2018,04:00 PM,12/08/2018,06:00 PM,FALSE,FALSE,,"Vertrek 1400
Start match 1600
Zaal De Stormmeeuw"
H1 vs Basket HEXIA ZwevegemDeerlijk HSE D,12/15/2018,04:00 PM,12/15/2018,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
H1 vs Kon BC Gistel Oostende Duva Fruit HSE G,01/06/2019,04:00 PM,01/06/2019,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
BC Kortrijk Sport HSE D vs H1,01/12/2019,08:00 PM,01/12/2019,10:00 PM,FALSE,FALSE,,"Vertrek 1755
Start match 2000
Zaal Sporthal Lange Munte"
H1 vs Koninklijke Basket Avelgem HSE B,01/20/2019,04:00 PM,01/20/2019,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
H1 vs Wytewa Roeselare HSE C,02/03/2019,04:00 PM,02/03/2019,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
H1 vs KBBC Wikings Kortrijk HSE B,02/17/2019,03:00 PM,02/17/2019,05:00 PM,FALSE,FALSE,,"Start match 1500
Zaal Gemeentelijke sporthal Koksijde"
BBC Poperinge HSE C vs H1,02/24/2019,01:00 PM,02/24/2019,03:00 PM,FALSE,FALSE,,"Vertrek 1115
Start match 1300
Zaal Stedelijke Sporthal Poperinge"
H1 vs BBC Gullegem HSE B,03/03/2019,04:00 PM,03/03/2019,06:00 PM,FALSE,FALSE,,"Start match 1600
Zaal Gemeentelijke sporthal Koksijde"
